,sentence_1_re_j,sentence_2_re_j,label,binary-label
89,여기 왕갈비 드시고 이 광경을 구경하시면 정말 멋지죠,왕갈비 최고였습니다 정자에 부는 시원한 바람 또한 일품이었습니다 최고 최고,1.4,0.0
90,둘 다 낯가리면서도 수다스러움을 감출 수 없는 캐릭터라는 것을 깨닫고,재밌는 콘셉트를 써도 숨길 수 없는 퀄리티,1.0,0.0
91,이민을 허용해 주세요,소년법을 폐지해 주세요,0.0,0.0
92,그냥 재밌으니까,재밌으니까 좀 봐 요들,2.8,1.0
93,할머니 감독님 농구가 하고 싶어요,점 없어 아쉬움,0.0,0.0
94,보면서 주인공 아이가 참 불쌍하다고 느꼈다,친구가 무섭다고 추천해 줬다,0.0,0.0
95,오 대화 시스템 오신 것을 환영합니다,오오 기대됩니다,0.0,0.0
96,그 외에도 스스로 자신에 대해 생각하고 돌아보게 하는 영화다,모든 영화는 아닌 척 하지만 다 우리 자신에 대한 위로이다,0.6,0.0
97,오호 신기합니다,어머 어 쩜 그런 너무 신기합니다,3.6,1.0
98,오늘이 우리 회사에 입사한 지 100일째 되는 날입니다,벌써 입사한 지 4개월 정도 지났네요,2.8,1.0
99,이 말에 너무나 공감 됩니다,매우 공감이 갑니다,3.4,1.0
100,히딩크 감독님을 모셔와 야 합니다,히딩크 감독을 다시 대한민국 축구 감독으로,3.2,1.0
101,나라를 위해 하시는 건가요 돈 벌려고 그 길로 가신 건가요,자영업자들 다 죽이 실 겁니까,0.0,0.0
102,전 건조기 없이 매일 빨래 중인데 사이즈 오케이,저는 큰 사이즈 모션 데스크 사용 중인데 만족합니다,0.4,0.0
103,그냥 회사 이름도 얘기하지,회사 이름도 언급하지 마십시오,1.0,0.0
104,이명박 씨의 출 밖을 막아주세요,이명박 씨의 출국을 금지시켜 주세요,4.2,1.0
105,멈칫 대다 갑자기 폭발해버리는 느낌,뒤통수를 처맞은 느낌,0.2,0.0
106,더 해피엔딩이었으면 좋았겠지만 근로 복지의 과제를 남겨준 거 같아 좋습니다,해피엔딩이었으면 좋았을 텐데 근로 복지라는 숙제를 남겨주셔서 좋았습니다,4.2,1.0
107,경추 요추 척추 압박골절 시 시술 대기 기간 없애주세요,건강보험 보장 확대에 오나 반 점 제거 시술도 포함해 주세요,0.0,0.0
108,청화대 청원 실명 공개해 주세요,청와대 국민청원 근거 없이 삭제 직권남용 직원 형사처벌 바랍니다,1.2,0.0
109,영화의 재미 보다 짚라인 타 보고 싶다,가난한 영화의 넘치는 여운 그녀의 말을 마저 듣고 싶다,0.0,0.0
110,한국의 귀신이 산다나 시 실리 km가 완성도 높다,한국의 귀신이 산다와 시 필리아 km는 완성도가 높다,3.8,1.0
111,내 감정이 매 말라서 그런지 모르겠지만 개인적으로는 너무 지루하고 재미없던 영화다,너무 지루한 영화다,3.0,1.0
112,민간 어린이집과 가 정 어린이집에 현장에 맞추어서 법을 만들어 주십시오,민간 어린이집과 가 정 어린이집에 운영비를 지원해 주시 기 바랍니다,2.0,0.0
113,무엇보다 최대한 원작의 분위기와 환경 스토리를 살려야 했는데 셋 다 정말 다른 이야기를 억지로 만들어 넣은 것 같았다,무엇보다 원작의 분위기와 환경 스토리를 최대한 살려야 했지만 세 사람이 모두 다른 이야기를 만들어야 하는 것 같았다,3.8,1.0
114,여러분 다들 맛 좀 하셨나요,다들 맛 좀 하세요,2.8,1.0
115,오래간만에 최악의 영화를 봤다,오래간만에 좋은 영화 봤다,0.6,0.0
116,지금도 아침에 코칭 다니시고 가족들도 종종 함께 다니는 가족 운동이라고 하네요,그리고 그림 또한 그리는 걸 좋아하셔서 태블릿까지 구매하셔서 종종 그리신다고 하십니다,0.0,0.0
117,나경원 비서 욕설 건으로 나경원 비서와 나경원 의원 특검 요청합니다,나경원 비서관과 나경원 특검 욕설 요구,2.6,1.0
118,뭔지는 모르지만 그냥 드라마에서 저런 잔에다가 마셔 요,뭔진 모르겠지만 그냥 드라마에서 저렇게 잔으로 마신다,3.8,1.0
119,주 52시간 근로에 대하여,주 52시간 근무제에 대한 의견입니다,3.2,1.0
120,둘만 낳아도 다자녀 혜택,다자녀 가구 부모의 공무원 우선 채용,0.6,0.0
121,아이가 게임에 빠지지 않게 하라는 방법이라고 합니다,인도에서 오는 비행 2주간 금지라고 합니다,0.0,0.0
122,건강한 취미에 이어 건강한 음식도 즐긴다고 해요,다양한 공간에서 삶의 방식을 경험하는 것을 즐긴다고 합니다,0.4,0.0
123,집값 안정화에 대한 청원,집값 안정화를 위한 제안,3.2,1.0
124,황제 노역 없애주세요,황제 노역 폐지를 원합니다,3.4,1.0
125,욱일기 전범기 관련 사용 금지 법안을 당장 만드시오,풍등 제작 및 날리기 행위를 법으로 금지해야 합니다,0.0,0.0
126,글 보다 가 뻘하게 웃고 갑니다,이 글을 읽으면서 헛 웃음이 나오네요,3.2,1.0
127,청원 모아주세요 중국발 미세먼지,중국발 미세먼지 대책 마련해 주시죠,2.2,0.0
128,남주 음식 흡입 장면은 혐오감으로 편집 바람,여배우 노출은 심하던 데 재미없어서 졸려서 본 영화,0.0,0.0
129,이동식 과속 단속카메라 대신과 속 단속 cctv를 설치해 주세요,5m 이동 시 핸드폰 액 정 자동 꺼짐 설치 의무화해주세요,0.0,0.0
130,저희가 지향하는 바가 비슷했었는데,우리는 같은 것을 목표로 하고 있었다,2.0,0.0
131,저도 잘 맞아들일 수 있음,잘 어울릴 수 있어요,0.0,0.0
132,이런 유의 영화가 지루하기 쉽지 않은데 희한하게 지루하네,상어 나오는 영화가 이렇게 지루할 수 있다는 데 박수를 보낸 다,2.0,0.0
133,저도 부트 캠프 2기 수강생 중에 고등학교 선배가 있어서 깜짝 놀랐던 경험이 있어서 공유드렸는데요,부트 캠프 2반 학생들 중에 고등학생이 있어서 놀랐던 경험도 나눴다,3.0,1.0
134,폭염 대책 좀 세워주세요,지진 안 나 게 방지책 좀 세워주세요,0.6,0.0
135,조두순 출소 반대 서명,조두순 출소 반대 청원,4.0,1.0
136,이 작품의 주제는 전쟁의 미화가 아니라 세계를 적으로 돌리며 전쟁을 하면 안 된다는 일본 정부에 대한 일침과 한 청년의 비행기 설계에 대한 꿈이라고 생각합니다,이 작품의 주제는 전쟁의 미화가 아니라 세계를 적으로 돌리면서 전쟁을 해서는 안 된다는 일본 정부에 대한 암시와 비행기를 디자인하는 청년의 꿈이라고 생각합니다,3.6,1.0
137,평화로 어딘가일 경우 한 수위,평화로운 곳이라면 최고,2.5,1.0
138,기대보단 기대보단 우연의 과도함,영화보단 드라마 부작이 짱,0.0,0.0
139,달리 고 또 달리고,공포감도 별 루고 암튼 비추,0.0,0.0
140,이 영화 또한 그러하다,이 감독의 영화는 다 비 추천이다,0.8,0.0
141,송파구청장 헬리오 시티 비리 연루 공익제보,송파구청장 헬리오 시티 비리 공익신고,4.2,1.0
142,국민연금 주식 대여 전면 금지해 주세요,국민연금 주식 대여 금지해 주세요 개미들 죽어요,3.4,1.0
143,오늘 오후 7시에 캠퍼들에게 공유될 예정인데요,내일 오전 10시 병에도 위와 같은 메시지가 달릴 예정인데요,0.4,0.0
144,금요일에 모인다는 첩보가,금요일에 더 많은 얘기 나눠요,1.4,0.0
145,제발 이명박 개별 청원하지 마시고 추천수로 정렬하셔서 3만 명 대 나오는 청원에 참여하셔야 참여자 올라갑니다,제발 이명박을 개별적으로 청원하지 말고 추천인 수순으로 정렬하여 청원에 300명과 함께 참여하여 참여인원을 늘립니다,4.5,1.0
146,배터리 우려 때문에 그러는지,배터리 문제 때문인가요,2.8,1.0
147,영원한 시간 그리고 영원한 사랑,진짜 재미없어요,0.0,0.0
148,어린이날에 산 선인장이 왔어요,어린이날 구입한 선인장이 왔어요,4.6,1.0
149,김영란법 폐지해 주세요,김영란법 폐지해 주세요 제발,4.0,1.0
150,mb 출국금지 신청,이명박 출국금지 요청,3.6,1.0
151,아파트 누수 요금 감면을 청원합니다,보육교사 대 아동 비율 수 조정 청원합니다,0.2,0.0
152,성범죄 공소시효 폐지를 청원합니다,청소년 보호법 및 소년법 등 폐지를 청원합니다,0.2,0.0
153,결론은 완전 나 잼,결론은 완전히 넌 센스다,1.8,0.0
154,킬링타임의 아주,킬링타임용에도 못 미치는 수준,1.2,0.0
155,엄청난 후폭풍을 몰고 올 개정,많은 국민들이 엄청난 피해를 보고 있습니다,0.0,0.0
156,시력과 라식에 대한 이야기로 시작해서 업무 이야기로 마무리되었습니다,시력과 라식에 대한 이야기로 시작해서 일 이야기로 끝이 났습니다,4.0,1.0
157,수시전형 고려 부탁요,수시전형 꼭 필요합니다,2.6,1.0
158,처음 뵌 분들과 빠르게 친 해질 수 있을 것 같은 느낌,처음 만나는 사람들과 금방 친해질 수 있는 것 같아요,3.4,1.0
159,킬링타임용 딱 그 정도인 듯,킬링타임용에 딱이라는 평점 보고 봤는데 정말 킬링 타임용 엔 딱이다,3.0,1.0
160,이런 전쟁 영화는 첨 본 다 굿,이런 드라마 오랜만에 보네요,0.4,0.0
161,국회의원 7530시급 지급하라,국회의원 최저임금 먼저 적용하라,3.4,1.0
162,대박 허리가 훨씬 편안하게 느껴지네요,하늘 색깔이 정말 파랗고 멋지네요,0.0,0.0
163,최고 잼 있고 웃긴 영화,생각 없이 웃긴 영화,3.0,1.0
164,우리 pk 시민들은 문재인 대통령을 적극 지지한다,김진표 의원님 의견 적극 지지합니다,0.2,0.0
165,평점에 속 지 맙시다,어휴 평점에 낚이지 마세요,3.6,1.0
166,발견하여 넣어 두었습니다,네 잘못 들었습니다,0.0,0.0
167,학생들도 투표에 참여할 수 있게 해야 합니다,학생들도 투표에 참여할 수 있어야 합니다,4.5,1.0
168,서울 모 초등학교 교감이 학생의 개인정보를 팔았습니다,서울 도봉구 소재 초등학교 교사의 폭력에 아이들이 병 들어가고 있습니다,0.4,0.0
169,7월 28일 난민 추방 촛불을 듭시다,6월 12일 광화문으로 모이자,0.0,0.0
170,간만의 셋째 고양이 자랑,고양이 자랑 많이 해주세요,1.4,0.0
171,무엇보다 시 사회 환경은 최악이었다,무엇보다 나오는 음악이 별로다,0.4,0.0
172,청소년 술 담배 폭행 법 엄격 강화,버스 택시 화물차 안전운전법 강화시켜 주세요,0.4,0.0
173,다음에 다시 재밌는 이야기해요,다음에 또 즐겁게 이야기합시다,3.6,1.0
174,잘 보고 왔습니다 감사합니다,정말 재밌습니다,2.0,0.0
175,반드시 특검 바랍니다,반드시 특별점검을 하십시오,1.4,0.0
176,선거 유세 차량 소음 공해,선거 운동 차량 소음 공해,4.4,1.0
177,나경원 의원 평창 올림픽 위원직 파면,나경원 의원 평창올림픽위원회 해임,4.4,1.0
178,자영업자 살리는 방법,최저임금 올리는 쉬운 방법,0.0,0.0
179,평점을 줄 때에는 직접 보고 줘아한다,케이블에서 보고 평점 드립니다,0.8,0.0
180,세상에 퍼펙트 월드란 없다,이때의 베이싱어는 엔트랩먼트의 제타 존스가 따라올 수 없다,0.0,0.0
181,전여잔 데 감독 진짜 또 라 위 같네요,저는 여자지만 감독님은 정말 딴 괴짜 같으시네요,3.8,1.0
182,님에게 압도적인 감사를,이게 아주 멋지고 아마 물속 말고 육지에서도 사용 가능,0.4,0.0
183,이 나이에 군대를 가 고 싶습니다,대통령에게 매일같이 욕을 하는 놈을 알고 있어요,0.0,0.0
184,물론 아이들 동화 같은 건 아니고요,솔직히 돈 주고 본 게 아니라 돈 아깝다는 소리는 못하고요,0.0,0.0
185,제목에 낚이지 마시길,댓글에 낚였음,1.4,0.0
186,리스트들이 대박이네요,최고 수인데요 대박이네요,1.2,0.0
187,와아아아 안전 좋아요 오 오,꺄오 오울 환영합니다 아아아,0.0,0.0
188,뭐가 이렇게 허접하다냐,뭐 이 리 어설픈 영화가 있냐,2.0,0.0
189,이게 보다 보니 회사 생각이 많이 납니다,보다 보니 우리 회사랑 비슷한 부분이 많아서 공유합니다,2.0,0.0
190,정말 궁금하네요 제주,오호 신기하네요,0.0,0.0
191,추가로 스 우파스 걸 하쇼 미를 잇는 너무 즐거운 취향 공유 시간도 너무 즐거웠네요,운동 이야기를 시작으로 직무에 대한 이야기까지 너무 즐거웠습니다,1.2,0.0
192,교육에 신경 좀 써주세요,교육에 관심을 가져주세요,4.4,1.0
193,아무쪼록 사 내 비슷한 취 미 가지신 분들 좀 계신 거 같으니 관련해서 자주 얘기도 나누고 또 적용한 경험도 나누어요,보안 관련하여 내용 좀 정리해서 추후 공지 당부 따로 드리긴 할 텐데요,0.0,0.0
194,실명 청원과 책임 답변 바랍니다,청와대 청원 답변 제대로 해라,2.6,1.0
195,지금의 한국이 비상시국임에도 허위 사실 유포 진실 은 폐로 국민을 개돼지로 만드는 자들 방송 언론 네이버 다음 신문 대표 구속 촉구합니다,허위사실 유포로 국민 불안감 조성 선동하는 행위에 대하여 강경 한 처벌 바랍니다,1.8,0.0
196,지금 보면 너무 구식,오늘 너무 재미없었다,0.6,0.0
197,8월에는 꼭 피티 받으러 가겠습니다,조만간 또 오피스 방문하게 되면 인 사드리러 가겠습니다,0.0,0.0
198,이국종 교수님의 분노,이국종 교수님 도와주세요,1.2,0.0
199,차용거래 계약에 관한 법을 보완할 수 있는지 알고 싶습니다,제1차 2차 연평 해전 및 천안함 사태에 구체적인 피해 보상과 재발 방지에 관하여 문재인 대통령님께 답변을 듣고 싶습니다,0.0,0.0
200,옆집에 누가 사는 데 뭐 하시는 분인지 진짜,옆집에는 누가 살고 무엇을 하고 있나요,3.0,1.0
201,ost는 도 좋고 도 좋은데,ost 좋다 역시 좋다,3.4,1.0
202,여기다 올려도 될지 모르겠지만 제가 일부러 찾아본 건 아닌데 유튜브에서 이런 걸 추천해 주더라고요 체력 정말 부럽,여기에 올려도 되는지 모르겠네요 일부러 찾아본 게 아니라 유튜브에서 이런 글을 추천해 줘서 하하,3.4,1.0
203,gm o 차단을 권합니다,한국 gm 국 영화를 제안합니다,0.0,0.0
204,고등학생들의 최소한의 운동시간을 주세요,학교 수업 시간을 줄여주세요 학생에게도 인권을 주세요,0.4,0.0
205,한국인 연금으로 군인 교직원 사학 국민연금 모두 합쳐서 새롭게,국민연금 손보기 전에 사학 공무원 군인연금부터 개혁하고 국민연금 건드시길,2.2,0.0
206,권역외상 센터 꾸준한 관심,이국종 교수님 권역 외상 센터,1.2,0.0
207,심심할 때 보기에 좋다 재밌었다,어른이 보기에도 재미있었다,2.8,1.0
208,국회 특별활동비 공개하고 반납해 주세요,국회 검찰 국정원 등 특활비 내역 공개 및 특활비 제도 개선,2.2,0.0
209,부동산 공정과 세 성장 동력 저출산 고령화 육아 국민연금 경제민주화 대책으로 국토 보유세를 신설해 주세요,부동산 공정한 과 세 성장 동력 저출산 고령화 육아 국민연금 경제민주화 대책 새로운 토지 소유사를 만들어 주세요,4.2,1.0
210,진짜 이 영화는 현실을 잘 반영했다,썩은 현실을 잘 반영한 수작,2.8,1.0
211,파리 밤 풍경 소녀 도둑고양이 보이는 배경의 절반 이상이 담장이나 지붕 일뿐인데도 이야기보다는 비주얼적인 개성이 돋보이는 애니메이션,파리 밤 풍경 소녀 도둑고양이 배경의 절반 이상이 울타리나 지붕 일뿐이지만 스토리라기보다는 시각적으로 돋보이는 애니메이션이다,4.2,1.0
212,시대를 타지 않는 명 작 셰익스피어 원작 그 자체,난 왜 광구가 생각이 나는 걸까,0.0,0.0
213,브로콜리와 로메인 모종을 심어 두었어요,이게 브로콜리 아니었나요,1.0,0.0
214,참여연대를 위한 위원회 국민들은 없다,자영업자와 근로자를 위한 수평적인 법 조정 절실합니다,0.0,0.0
215,주온 시리즈 한 번도 안 보고 봐서 그런지 정말 무섭던데요,그냥 그저 그래네요 스릴러를 너무 봐서 그런가,0.0,0.0
216,초절전 모드로 무사히 도착했습니다,전 일단 초급자 모드로 깔고 갑니다,0.4,0.0
217,손해보험 생명 보험 회사 모두 폐지 하라,모든 생명보험사 폐지,3.0,1.0
218,동물보호법 강화 및 개선,동물보호법 강화를 원합니다,2.8,1.0
219,주 52시간 근로 제도 수정 요청드립니다,주 52시간 제 개편을 요청합니다,4.2,1.0
220,꼭 공연 보시고 후기 알려주세요,혹시 강의 일부 참여하셨으면 후기 부탁드립니다,1.4,0.0
221,자유한국당 퇴출 시킨 시다,나경원 의원 파면 요청합니다,0.0,0.0
222,디자인 관련 궁금한 것들이 많았는데 신기했어요,추천 관련해서 궁금하신 점들이 있다고 하셨는데 언제든지 미팅 잡아주세요,0.8,0.0
223,장관급 인사는 재산 공개하자,고위공직자 재산 공개를 법으로 규제하자,2.2,0.0
224,꽃에 물을 줘야 합니다,꽃에 물을 주어야 합니다,4.6,1.0
